ID,Type,Message,Performed By,Occurred At
183451859,task_update_activity,"Shawn rewrote task: ""create ""resubmit"" button on survey (all members) (0.5)""",Shawn,2022-10-04T07:46:34Z
183451859,task_create_activity,"Shawn added task: ""create ""resubmit"" feature on backend system (2 hr)""",Shawn,2022-10-04T07:46:23Z
183451859,task_create_activity,"Shawn added task: ""create ""resubmit"" button on survey (all members) (0.5)""",Shawn,2022-10-04T07:45:43Z
183451432,comment_create_activity,"Shawn added comment: ""Given the survey webpage is present,
when I click on the option of the questions and save the choice and click the submit ,
then the data of my survey will be sent to backend database.""",Shawn,2022-10-04T07:44:27Z
183451432,comment_delete_activity,"Shawn removed comment: ""Given the survey webpage is present,
when I click on the option of the questions and save the choice and click the submit ,
then the data of my survey will be sent to backend database.""",Shawn,2022-10-04T07:44:24Z
183451432,comment_create_activity,"Shawn added comment: ""Given the survey login webpage is present,
when I click on the  ""login"" or ""sign up"" button, and login by my account number or sign up by my student email or ID ，
then the survey webpage will be open on my computer browser..""",Shawn,2022-10-04T07:44:04Z
183451432,comment_update_activity,Shawn edited this comment,Shawn,2022-10-04T07:41:11Z
183451859,story_create_activity,Shawn added this feature,Shawn,2022-10-04T07:39:14Z
183451432,task_update_activity,"Shawn rewrote task: ""According to our data type, we designed the storage method, and stored the data obtained in our survey into our database （all members) (3hr)""",Shawn,2022-10-04T07:25:01Z
183451432,task_create_activity,"Shawn added task: ""According to our data type, we designed the storage method, and stored the data obtained in our survey into our database （all members) (3hr)""",Shawn,2022-10-04T07:22:20Z
183451432,task_update_activity,"Shawn rewrote task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:15:00Z
183451432,task_update_activity,"Shawn rewrote task: ""create a survey  and create a link of it ( all members) (1 hr)""",Shawn,2022-10-04T07:14:13Z
183451432,task_update_activity,"Shawn uncompleted task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:13:11Z
183451432,task_update_activity,"Shawn completed task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:13:07Z
183451432,task_create_activity,"Shawn added task: ""design data structure and create a database (all members) ( 3hr)""",Shawn,2022-10-04T07:12:49Z
183451432,task_create_activity,"Shawn added task: ""create a survey  and create a link of it ( all members) (1 hr)""",Shawn,2022-10-04T07:12:06Z
183451432,story_create_activity,Shawn added this feature,Shawn,2022-10-04T07:08:54Z
183437274,story_update_activity,Shawn edited this feature,Shawn,2022-10-04T06:22:59Z
183370590,follower_create_activity,Shawn started following this story,Shawn,2022-10-04T06:06:55Z
183346636,follower_create_activity,Shawn started following this story,Shawn,2022-10-04T06:06:45Z
183346636,follower_delete_activity,Shawn stopped following this story,Shawn,2022-10-04T06:06:37Z
183346636,follower_create_activity,Shawn started following this story,Shawn,2022-10-04T06:06:36Z
183346636,story_update_activity,Shawn edited this feature,Shawn,2022-10-04T06:04:49Z
183370589,comment_create_activity,"yao049 added comment: ""Given a Hide/Show your Survey function is available when the students want to keep their survey a secret then they can just hide it.""",yao049,2022-10-04T04:53:10Z
183370589,comment_create_activity,"yao049 added comment: ""Given a  Hide/Show your Survey function is available when students want to show their survey to other team members then they can know each other better.""",yao049,2022-10-04T04:50:44Z
183370589,task_create_activity,"yao049 added task: ""Test UI functions - 0.5 hrs""",yao049,2022-10-04T04:48:36Z
183370589,task_create_activity,"yao049 added task: ""Build UI page- 1 hr""",yao049,2022-10-04T04:48:35Z
183370589,task_create_activity,"yao049 added task: ""Build unit tests and REST API test - 1 hr""",yao049,2022-10-04T04:48:27Z
183370589,task_create_activity,"yao049 added task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-10-04T04:48:15Z
183370589,task_create_activity,"yao049 added task: ""Build controller layer to connect front and backend - 1 hr""",yao049,2022-10-04T04:48:10Z
183370589,task_create_activity,"yao049 added task: ""Creat a Service Interface and Classes - 0.5 hrs""",yao049,2022-10-04T04:48:09Z
183370590,comment_create_activity,"yao049 added comment: ""Given the Friend Selector is available when the students can make their own team then Professor can consider what's the best team for them""",yao049,2022-10-04T04:44:14Z
183370590,comment_create_activity,"yao049 added comment: ""Given the Friend Selector function is available when students wants to be in the same team with their friends then they can click the button to let professor know that""",yao049,2022-10-04T04:42:24Z
183370590,task_create_activity,"yao049 added task: ""Test UI functions- 0.5 hrs""",yao049,2022-10-04T04:40:57Z
183370590,task_create_activity,"yao049 added task: ""Build UI page- 1 hr""",yao049,2022-10-04T04:40:55Z
183370590,task_create_activity,"yao049 added task: ""Build unit tests and REST API test- 0.5 hrs""",yao049,2022-10-04T04:40:48Z
183370590,task_create_activity,"yao049 added task: ""Build a DAO layer and set up database- 1 hrs""",yao049,2022-10-04T04:40:42Z
183370590,task_create_activity,"yao049 added task: ""Build controller layer to connect front and backend- 1 hrs""",yao049,2022-10-04T04:40:33Z
183370590,task_create_activity,"yao049 added task: ""Creat a Service Interface and Classes - 0.5 hrs""",yao049,2022-10-04T04:40:26Z
183366427,task_update_activity,"yao049 rewrote task: ""Build controller layer to connect front and backend- 1 hrs""",yao049,2022-10-04T04:28:51Z
183366427,task_update_activity,"yao049 rewrote task: ""Build a DAO layer and set up database- 1 hrs""",yao049,2022-10-04T04:28:43Z
183366427,task_update_activity,"yao049 rewrote task: ""Build UI page- 1 hr""",yao049,2022-10-04T04:28:38Z
183366427,task_update_activity,"yao049 rewrote task: ""Test UI functions- 0.5 hrs""",yao049,2022-10-04T04:28:31Z
183366427,task_update_activity,"yao049 rewrote task: ""Build UI page- 0.5 hrs""",yao049,2022-10-04T04:28:30Z
183366427,task_update_activity,"yao049 rewrote task: ""Build unit tests and REST API test- 0.5 hrs""",yao049,2022-10-04T04:28:29Z
183366427,task_update_activity,"yao049 rewrote task: ""Build a DAO layer and set up database- 0.5 hrs""",yao049,2022-10-04T04:28:27Z
183366427,task_update_activity,"yao049 rewrote task: ""Build controller layer to connect front and backend- 0.5 hrs""",yao049,2022-10-04T04:28:24Z
183366427,task_update_activity,"yao049 rewrote task: ""Build business logic service layer- 0.5 hrs""",yao049,2022-10-04T04:28:22Z
183366427,task_update_activity,"yao049 rewrote task: ""Creat a Service Interface and Classes - 0.5 hrs""",yao049,2022-10-04T04:28:19Z
183366568,task_update_activity,"yao049 rewrote task: ""Test UI functions - 0.5 hrs""",yao049,2022-10-04T04:28:06Z
183366568,task_update_activity,"yao049 rewrote task: ""Build UI page- 1 hr""",yao049,2022-10-04T04:27:58Z
183366568,task_update_activity,"yao049 rewrote task: ""Build unit tests and REST API test - 1 hr""",yao049,2022-10-04T04:27:51Z
183366568,task_update_activity,"yao049 rewrote task: ""Build controller layer to connect front and backend - 1 hr""",yao049,2022-10-04T04:27:49Z
183366568,task_update_activity,"yao049 rewrote task: ""Build unit tests and REST API test - 1 hrs""",yao049,2022-10-04T04:27:46Z
183366568,task_update_activity,"yao049 rewrote task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-10-04T04:27:34Z
183366568,task_update_activity,"yao049 rewrote task: ""Build controller layer to connect front and backend - 1 hrs""",yao049,2022-10-04T04:27:31Z
183366568,task_update_activity,"yao049 rewrote task: ""Build business logic service layer - 0.5 hrs""",yao049,2022-10-04T04:27:24Z
183366568,task_update_activity,"yao049 rewrote task: ""Creat a Service Interface and Classes - 0.5 hrs""",yao049,2022-10-04T04:27:21Z
183437274,story_move_activity,Shawn moved this story before 'Copy of - Removing student from the class',Shawn,2022-10-04T00:49:09Z
183437274,story_update_activity,Shawn unstarted this feature,Shawn,2022-10-04T00:48:53Z
183437274,story_update_activity,Shawn started this feature,Shawn,2022-10-04T00:48:50Z
183437274,story_update_activity,Shawn delivered this feature,Shawn,2022-10-04T00:48:15Z
183437274,story_update_activity,Shawn finished this feature,Shawn,2022-10-04T00:48:05Z
183437274,story_update_activity,Shawn started this feature,Shawn,2022-10-04T00:48:03Z
2599395,project_membership_update_activity,Shawn updated their profile,Shawn,2022-10-04T00:38:26Z
2599395,project_membership_update_activity,Shawn updated their profile,Shawn,2022-10-04T00:38:20Z
6364451,review_type_create_activity,Shawn created a custom review type: Team Leader,Shawn,2022-10-04T00:34:28Z
183437274,review_create_activity,Shawn created a review: Design,Shawn,2022-10-04T00:33:48Z
183437274,review_create_activity,Shawn created a review: Test (QA),Shawn,2022-10-04T00:33:47Z
183437274,story_update_activity,Shawn unstarted this feature,Shawn,2022-10-04T00:22:28Z
183437274,story_update_activity,Shawn started this feature,Shawn,2022-10-04T00:20:47Z
183346636,story_update_activity,Shawn estimated this feature as 3 points,Shawn,2022-10-04T00:11:09Z
183346636,story_update_activity,Shawn unestimated this feature,Shawn,2022-10-04T00:11:06Z
183346636,story_update_activity,Shawn estimated this feature as 3 points,Shawn,2022-10-04T00:10:57Z
183437274,comment_create_activity,"Haiyang Wang added comment: ""Given that the extreme situations are considered already, when we input some data outside normal condition, then we can avoid crash caused by something like input of negative values.""",Haiyang Wang,2022-10-03T01:32:18Z
183437274,comment_create_activity,"Haiyang Wang added comment: ""Given that the stupid problems are fixed, when we use some appropriate unit tests, then we are able to avoid sudden shut down or make sure our code is working.""",Haiyang Wang,2022-10-03T01:28:46Z
183437274,task_create_activity,"Haiyang Wang added task: ""Test extreme situations - 5 ~ 10""",Haiyang Wang,2022-10-03T01:26:44Z
183437274,task_update_activity,"Haiyang Wang rewrote task: ""Test stupid problems - 5 ~ 10 h""",Haiyang Wang,2022-10-03T01:26:28Z
183437274,task_update_activity,"Haiyang Wang rewrote task: ""Think about what should we test first - 3 ~ 5 h""",Haiyang Wang,2022-10-03T01:26:13Z
183437274,task_create_activity,"Haiyang Wang added task: ""Test stupid problems - 5 ~ 10 h""",Haiyang Wang,2022-10-03T01:26:10Z
183437274,task_update_activity,"Haiyang Wang rewrote task: ""Think about what should we test first - 3 ~ 10 h""",Haiyang Wang,2022-10-03T01:25:48Z
183437274,task_create_activity,"Haiyang Wang added task: ""Think about what should we test first - 3 ~ 5 h""",Haiyang Wang,2022-10-03T01:24:45Z
183437274,story_update_activity,Haiyang Wang edited this feature,Haiyang Wang,2022-10-03T01:23:48Z
183437274,story_update_activity,Haiyang Wang edited this feature,Haiyang Wang,2022-10-03T01:23:39Z
183437274,story_update_activity,Haiyang Wang estimated this feature as 1 point,Haiyang Wang,2022-10-03T01:22:33Z
183437274,story_update_activity,Haiyang Wang edited this feature,Haiyang Wang,2022-10-03T01:22:31Z
183437274,story_create_activity,Haiyang Wang added this feature,Haiyang Wang,2022-10-03T01:22:17Z
183437250,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-03T01:16:59Z
183437249,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-03T01:16:52Z
183437243,story_update_activity,s1a1d1f1 estimated this feature as 2 points,s1a1d1f1,2022-10-03T01:15:30Z
183437243,story_update_activity,s1a1d1f1 edited this feature,s1a1d1f1,2022-10-03T01:15:29Z
183437243,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-03T01:15:11Z
183437229,comment_update_activity,s1a1d1f1 edited this comment,s1a1d1f1,2022-10-03T01:13:33Z
183437229,comment_update_activity,s1a1d1f1 edited this comment,s1a1d1f1,2022-10-03T01:12:04Z
183437229,story_update_activity,s1a1d1f1 edited this feature,s1a1d1f1,2022-10-03T01:09:21Z
183437229,story_update_activity,s1a1d1f1 estimated this feature as 2 points,s1a1d1f1,2022-10-03T01:09:07Z
183437229,story_create_activity,s1a1d1f1 added this feature,s1a1d1f1,2022-10-03T01:07:57Z
183436927,comment_create_activity,"Haiyang Wang added comment: ""Given some proper integration tests, when we use these tests, we can figure out whether or not our code can work together parts by parts.""",Haiyang Wang,2022-10-02T23:50:59Z
183436927,comment_update_activity,Haiyang Wang edited this comment,Haiyang Wang,2022-10-02T23:50:17Z
183436927,comment_create_activity,"Haiyang Wang added comment: ""Given some proper unit tests, when we use these test, then we can eliminate some stupid problems and some problems that only exist in extreme situation.""",Haiyang Wang,2022-10-02T23:49:38Z
183436927,story_update_activity,Haiyang Wang edited this feature,Haiyang Wang,2022-10-02T23:47:51Z
183436927,task_create_activity,"Haiyang Wang added task: ""SYSTEM TEST - 10 ~ 20 h""",Haiyang Wang,2022-10-02T23:47:41Z
183436927,task_create_activity,"Haiyang Wang added task: ""INTEGRATION TEST - 10 ~ 20 h""",Haiyang Wang,2022-10-02T23:47:22Z
183436927,task_create_activity,"Haiyang Wang added task: ""UNIT TEST - 10 ~ 20 h""",Haiyang Wang,2022-10-02T23:47:04Z
183436927,story_update_activity,Haiyang Wang estimated this feature as 3 points,Haiyang Wang,2022-10-02T23:46:10Z
183436927,story_update_activity,Haiyang Wang edited this feature,Haiyang Wang,2022-10-02T23:46:03Z
183436927,story_update_activity,Haiyang Wang edited this feature,Haiyang Wang,2022-10-02T23:45:19Z
183436927,story_create_activity,Haiyang Wang added this feature,Haiyang Wang,2022-10-02T23:45:04Z
183436895,story_delete_activity,Haiyang Wang deleted this feature,Haiyang Wang,2022-10-02T23:24:35Z
183436895,story_create_activity,Haiyang Wang added this feature,Haiyang Wang,2022-10-02T23:24:17Z
183366568,story_update_activity,Haiyang Wang unstarted this feature,Haiyang Wang,2022-10-02T23:22:33Z
183366568,story_update_activity,Haiyang Wang finished this feature,Haiyang Wang,2022-10-02T23:22:25Z
183366568,story_update_activity,Haiyang Wang started this feature,Haiyang Wang,2022-10-02T23:22:23Z
183436796,story_create_activity,davidyin97 added this feature,davidyin97,2022-10-02T21:43:45Z
183410549,story_delete_activity,davidyin97 deleted this feature,davidyin97,2022-10-02T21:36:38Z
,project_membership_create_activity,Yuting Zhang added new members: Ruotong Wang,Yuting Zhang,2022-09-30T16:49:57Z
183366568,story_move_activity,s1a1d1f1 moved this story before 'Group Customization',s1a1d1f1,2022-09-30T04:09:52Z
183366568,story_update_activity,s1a1d1f1 unstarted this feature,s1a1d1f1,2022-09-30T04:09:11Z
183366568,story_update_activity,s1a1d1f1 accepted this feature,s1a1d1f1,2022-09-30T04:08:21Z
183366568,story_update_activity,s1a1d1f1 delivered this feature,s1a1d1f1,2022-09-30T04:08:16Z
183366568,story_update_activity,s1a1d1f1 finished this feature,s1a1d1f1,2022-09-30T04:08:15Z
183366568,story_update_activity,s1a1d1f1 started this feature,s1a1d1f1,2022-09-30T04:08:13Z
183410549,story_create_activity,davidyin97 added this feature,davidyin97,2022-09-28T22:28:35Z
2599395,project_membership_update_activity,davidyin97 updated their profile,davidyin97,2022-09-28T22:23:04Z
23879507,label_update_activity,yao049 renamed label from 'nice to have' to 'optional',yao049,2022-09-25T00:34:22Z
183370590,story_create_activity,yao049 added this feature,yao049,2022-09-25T00:33:37Z
183370589,story_create_activity,yao049 added this feature,yao049,2022-09-25T00:31:40Z
23879507,label_create_activity,"yao049 created labels: ""optional""",yao049,2022-09-25T00:31:19Z
183366427,comment_create_activity,"yao049 added comment: ""Given the algorithm for this app is available  when Professor wants to make a balanced team then Professor can submit all the data and let the app to do so""",yao049,2022-09-24T16:43:49Z
183366427,comment_create_activity,"yao049 added comment: ""Given the assigned team member button is available when Professor wants to assign a student to the specific team then Professor can click the button to do so""",yao049,2022-09-24T16:40:17Z
183366568,comment_create_activity,"yao049 added comment: ""Given the submit function is available when students want to submit their Survey then the can click the submit bottom to do so.""",yao049,2022-09-24T16:36:42Z
183366568,comment_update_activity,yao049 edited this comment,yao049,2022-09-24T16:35:35Z
183366568,comment_update_activity,yao049 edited this comment,yao049,2022-09-24T16:33:45Z
183366568,comment_create_activity,"yao049 added comment: ""Given a Fill-up Survey function is available when Professor want to creat a balence team for every student then Professor can have enough infomation for every students""",yao049,2022-09-24T16:31:45Z
183366427,task_create_activity,"yao049 added task: ""Test UI functions- 0.5 hrs""",yao049,2022-09-23T20:45:44Z
183366427,task_create_activity,"yao049 added task: ""Build UI page- 1 hr""",yao049,2022-09-23T20:45:33Z
183366427,task_create_activity,"yao049 added task: ""Build unit tests and REST API test- 0.5 hrs""",yao049,2022-09-23T20:45:07Z
183366427,task_create_activity,"yao049 added task: ""Build a DAO layer and set up database- 1 hrs""",yao049,2022-09-23T20:44:59Z
183366427,task_create_activity,"yao049 added task: ""Build controller layer to connect front and backend- 1 hrs""",yao049,2022-09-23T20:44:49Z
183366427,task_create_activity,"yao049 added task: ""Build business logic service layer- 0.5 hrs""",yao049,2022-09-23T20:44:38Z
183366427,task_create_activity,"yao049 added task: ""Creat a Service Interface and Classes - 0.5 hrs""",yao049,2022-09-23T20:44:29Z
183366568,task_create_activity,"yao049 added task: ""Test UI functions - 0.5 hrs""",yao049,2022-09-23T20:44:05Z
183366568,task_create_activity,"yao049 added task: ""Build UI page- 1 hr""",yao049,2022-09-23T20:43:49Z
183366568,task_update_activity,"yao049 rewrote task: ""Build business logic service layer""",yao049,2022-09-23T20:43:22Z
183366568,task_create_activity,"yao049 added task: ""Build unit tests and REST API test - 1 hr""",yao049,2022-09-23T20:42:08Z
183366568,task_update_activity,"yao049 rewrote task: ""Build a DAO layer and set up database""",yao049,2022-09-23T20:42:05Z
183366568,task_update_activity,"yao049 uncompleted task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-09-23T20:41:31Z
183366568,task_update_activity,"yao049 completed task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-09-23T20:41:30Z
183366568,task_update_activity,"yao049 uncompleted task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-09-23T20:41:25Z
183366568,task_update_activity,"yao049 completed task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-09-23T20:41:25Z
183366568,task_create_activity,"yao049 added task: ""Build a DAO layer and set up database - 0.5 hrs""",yao049,2022-09-23T20:40:57Z
183366568,task_create_activity,"yao049 added task: ""Build controller layer to connect front and backend - 1 hr""",yao049,2022-09-23T20:37:47Z
183366568,task_create_activity,"yao049 added task: ""Build business logic service layer - 0.5 hrs""",yao049,2022-09-23T20:37:13Z
183366568,task_create_activity,"yao049 added task: ""Creat a Service Interface and Classes - 0.5 hrs""",yao049,2022-09-23T20:36:01Z
183366568,story_create_activity,yao049 added this feature,yao049,2022-09-23T20:32:49Z
183366427,story_update_activity,yao049 edited this feature,yao049,2022-09-23T20:29:31Z
183366427,story_create_activity,yao049 added this feature,yao049,2022-09-23T20:14:59Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:49:22Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:44:05Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:44:02Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T03:43:22Z
183346636,story_move_activity,Yuting Zhang moved this story,Yuting Zhang,2022-09-22T03:41:53Z
183346636,story_move_activity,Yuting Zhang moved and scheduled this story,Yuting Zhang,2022-09-22T00:26:49Z
2599395,project_membership_update_activity,Shawn updated their profile,Shawn,2022-09-22T00:26:24Z
183346636,story_move_activity,Yuting Zhang moved this story,Yuting Zhang,2022-09-22T00:26:17Z
183346636,comment_create_activity,"Yuting Zhang added comment: ""what info should a project include?
""",Yuting Zhang,2022-09-22T00:25:48Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T00:23:11Z
23874932,label_create_activity,"Yuting Zhang created labels: ""project management""",Yuting Zhang,2022-09-22T00:23:10Z
183346636,story_update_activity,Yuting Zhang edited this feature,Yuting Zhang,2022-09-22T00:23:02Z
23874931,label_create_activity,"Yuting Zhang created labels: ""essential""",Yuting Zhang,2022-09-22T00:23:02Z
183346636,story_create_activity,Yuting Zhang added this feature,Yuting Zhang,2022-09-22T00:21:23Z
2599395,project_membership_update_activity,Shawn updated their profile,Shawn,2022-09-21T21:17:24Z
2599395,project_membership_update_activity,Haiyang Wang updated their profile,Haiyang Wang,2022-09-21T20:40:26Z
,project_membership_create_activity,"Yuting Zhang added new members: Shawn, s1a1d1f1, yao049, davidyin97, Haiyang Wang",Yuting Zhang,2022-09-21T20:38:47Z
,project_membership_create_activity,"Yuting Zhang added new members: Shawn, s1a1d1f1, yao049, davidyin97, Haiyang Wang",Yuting Zhang,2022-09-21T20:38:47Z
,project_membership_create_activity,"Yuting Zhang added new members: Shawn, s1a1d1f1, yao049, davidyin97, Haiyang Wang",Yuting Zhang,2022-09-21T20:38:47Z
,project_membership_create_activity,"Yuting Zhang added new members: Shawn, s1a1d1f1, yao049, davidyin97, Haiyang Wang",Yuting Zhang,2022-09-21T20:38:47Z
,project_membership_create_activity,"Yuting Zhang added new members: Shawn, s1a1d1f1, yao049, davidyin97, Haiyang Wang",Yuting Zhang,2022-09-21T20:38:47Z
